time,avg_Vmem_mV,avg_Na_mM,avg_K_mM,avg_Cl_mM,avg_Ca_mM,avg_H_mM,avg_P_mM
0,-7.28149e+06,0,0,0,0,0,135
1e-05,-7.28149e+06,0,0,0,0,0,135
0.00101,-7.28149e+06,0,0,0,0,0,135
0.00201,-7.28149e+06,0,0,0,0,0,135
0.00301,-7.28149e+06,0,0,0,0,0,135
0.00401,-7.28149e+06,0,0,0,0,0,135
0.00501,-7.28149e+06,0,0,0,0,0,135
0.00601,-7.28149e+06,0,0,0,0,0,135
0.00701,-7.28149e+06,0,0,0,0,0,135
0.00801,-7.28149e+06,0,0,0,0,0,135
0.00901,-7.28149e+06,0,0,0,0,0,135
0.01001,-7.28149e+06,0,0,0,0,0,135
0.01101,-7.28149e+06,0,0,0,0,0,135
0.01201,-7.28149e+06,0,0,0,0,0,135
0.01301,-7.28149e+06,0,0,0,0,0,135
0.01401,-7.28149e+06,0,0,0,0,0,135
0.01501,-7.28149e+06,0,0,0,0,0,135
0.01601,-7.28149e+06,0,0,0,0,0,135
0.01701,-7.28149e+06,0,0,0,0,0,135
0.01801,-7.28149e+06,0,0,0,0,0,135
0.01901,-7.28149e+06,0,0,0,0,0,135
0.02001,-7.28149e+06,0,0,0,0,0,135
0.02101,-7.28149e+06,0,0,0,0,0,135
0.02201,-7.28149e+06,0,0,0,0,0,135
0.02301,-7.28149e+06,0,0,0,0,0,135
0.02401,-7.28149e+06,0,0,0,0,0,135
0.02501,-7.28149e+06,0,0,0,0,0,135
0.02601,-7.28149e+06,0,0,0,0,0,135
0.02701,-7.28149e+06,0,0,0,0,0,135
0.02801,-7.28149e+06,0,0,0,0,0,135
0.02901,-7.28149e+06,0,0,0,0,0,135
0.03001,-7.28149e+06,0,0,0,0,0,135
0.03101,-7.28149e+06,0,0,0,0,0,135
0.03201,-7.28149e+06,0,0,0,0,0,135
0.03301,-7.28149e+06,0,0,0,0,0,135
0.03401,-7.28149e+06,0,0,0,0,0,135
0.03501,-7.28149e+06,0,0,0,0,0,135
0.03601,-7.28149e+06,0,0,0,0,0,135
0.03701,-7.28149e+06,0,0,0,0,0,135
0.03801,-7.28149e+06,0,0,0,0,0,135
0.03901,-7.28149e+06,0,0,0,0,0,135
0.04001,-7.28149e+06,0,0,0,0,0,135
0.04101,-7.28149e+06,0,0,0,0,0,135
0.04201,-7.28149e+06,0,0,0,0,0,135
0.04301,-7.28149e+06,0,0,0,0,0,135
0.04401,-7.28149e+06,0,0,0,0,0,135
0.04501,-7.28149e+06,0,0,0,0,0,135
0.04601,-7.28149e+06,0,0,0,0,0,135
0.04701,-7.28149e+06,0,0,0,0,0,135
0.04801,-7.28149e+06,0,0,0,0,0,135
0.04901,-7.28149e+06,0,0,0,0,0,135
0.05001,-7.28149e+06,0,0,0,0,0,135
0.05101,-7.28149e+06,0,0,0,0,0,135
0.05201,-7.28149e+06,0,0,0,0,0,135
0.05301,-7.28149e+06,0,0,0,0,0,135
0.05401,-7.28149e+06,0,0,0,0,0,135
0.05501,-7.28149e+06,0,0,0,0,0,135
0.05601,-7.28149e+06,0,0,0,0,0,135
0.05701,-7.28149e+06,0,0,0,0,0,135
0.05801,-7.28149e+06,0,0,0,0,0,135
0.05901,-7.28149e+06,0,0,0,0,0,135
0.06001,-7.28149e+06,0,0,0,0,0,135
0.06101,-7.28149e+06,0,0,0,0,0,135
0.06201,-7.28149e+06,0,0,0,0,0,135
0.06301,-7.28149e+06,0,0,0,0,0,135
0.06401,-7.28149e+06,0,0,0,0,0,135
0.06501,-7.28149e+06,0,0,0,0,0,135
0.06601,-7.28149e+06,0,0,0,0,0,135
0.06701,-7.28149e+06,0,0,0,0,0,135
0.06801,-7.28149e+06,0,0,0,0,0,135
0.06901,-7.28149e+06,0,0,0,0,0,135
0.07001,-7.28149e+06,0,0,0,0,0,135
0.07101,-7.28149e+06,0,0,0,0,0,135
0.07201,-7.28149e+06,0,0,0,0,0,135
0.07301,-7.28149e+06,0,0,0,0,0,135
0.07401,-7.28149e+06,0,0,0,0,0,135
0.07501,-7.28149e+06,0,0,0,0,0,135
0.07601,-7.28149e+06,0,0,0,0,0,135
0.07701,-7.28149e+06,0,0,0,0,0,135
0.07801,-7.28149e+06,0,0,0,0,0,135
0.07901,-7.28149e+06,0,0,0,0,0,135
0.08001,-7.28149e+06,0,0,0,0,0,135
0.08101,-7.28149e+06,0,0,0,0,0,135
0.08201,-7.28149e+06,0,0,0,0,0,135
0.08301,-7.28149e+06,0,0,0,0,0,135
0.08401,-7.28149e+06,0,0,0,0,0,135
0.08501,-7.28149e+06,0,0,0,0,0,135
0.08601,-7.28149e+06,0,0,0,0,0,135
0.08701,-7.28149e+06,0,0,0,0,0,135
0.08801,-7.28149e+06,0,0,0,0,0,135
0.08901,-7.28149e+06,0,0,0,0,0,135
0.09001,-7.28149e+06,0,0,0,0,0,135
0.09101,-7.28149e+06,0,0,0,0,0,135
0.09201,-7.28149e+06,0,0,0,0,0,135
0.09301,-7.28149e+06,0,0,0,0,0,135
0.09401,-7.28149e+06,0,0,0,0,0,135
0.09501,-7.28149e+06,0,0,0,0,0,135
0.09601,-7.28149e+06,0,0,0,0,0,135
0.09701,-7.28149e+06,0,0,0,0,0,135
0.09801,-7.28149e+06,0,0,0,0,0,135
0.09901,-7.28149e+06,0,0,0,0,0,135
