time,avg_Vmem_mV,avg_Na_mM,avg_K_mM,avg_Cl_mM,avg_Ca_mM,avg_H_mM,avg_P_mM
0,-72.4967,12.0587,122.94,0,0.000119225,6.29383e-05,135
0.0001,-72.4952,12.0587,122.94,0,0.000119225,6.29383e-05,135
0.0501,-72.4909,12.059,122.939,0,0.000119322,6.29384e-05,135
0.1001,-72.498,12.0594,122.939,0,0.000119418,6.29385e-05,135
0.1501,-72.4983,12.0598,122.939,0,0.000119514,6.29385e-05,135
0.2001,-72.4873,12.0601,122.938,0,0.000119611,6.29386e-05,135
0.2501,-72.492,12.0605,122.938,0,0.000119707,6.29387e-05,135
0.3001,-72.5005,12.0609,122.937,0,0.000119803,6.29388e-05,135
0.3501,-72.49,12.0613,122.937,0,0.0001199,6.29389e-05,135
0.4001,-72.4944,12.0616,122.937,0,0.000119996,6.2939e-05,135
0.4501,-72.4891,12.062,122.936,0,0.000120093,6.29391e-05,135
