time,avg_Vmem_mV,avg_Na_mM,avg_K_mM,avg_Cl_mM,avg_Ca_mM,avg_H_mM,avg_P_mM
0,-64.8419,12.5976,122.146,0.000663379,1.56104e-09,6.60071e-05,134.744
0.0001,-64.4159,12.5976,122.146,0.000663387,8.58585e-10,6.60071e-05,134.744
0.0201,-64.8822,12.5978,122.145,0.000664843,1.93713e-10,6.60071e-05,134.744
0.0401,-65.0272,12.5979,122.145,0.0006663,1.94272e-10,6.60072e-05,134.744
0.0601,-65.1262,12.5981,122.145,0.000667756,1.94647e-10,6.60073e-05,134.744
0.0801,-65.2174,12.5982,122.145,0.000669212,1.94991e-10,6.60073e-05,134.744
0.1001,-65.3061,12.5984,122.145,0.000670669,1.95327e-10,6.60074e-05,134.744
0.1201,-65.393,12.5985,122.144,0.000672125,1.95657e-10,6.60075e-05,134.743
0.1401,-65.4784,12.5987,122.144,0.000673581,1.95982e-10,6.60075e-05,134.743
0.1601,-65.5621,12.5988,122.144,0.000675038,1.96302e-10,6.60076e-05,134.743
0.1801,-65.6444,12.599,122.144,0.000676494,1.96617e-10,6.60077e-05,134.743
