time,avg_Vmem_mV,avg_Na_mM,avg_K_mM,avg_Cl_mM,avg_Ca_mM,avg_H_mM,avg_P_mM
0,709559,12,140,4,0.0001,6.3e-05,135
0.0001,891970,11.9994,139.343,0,9.99999e-05,6.2997e-05,135
0.0501,-67.6737,11.9847,123.014,0,0.000100034,6.29187e-05,135
0.1001,-72.4762,11.985,123.013,0,0.000100129,6.29188e-05,135
0.1501,-72.5383,11.9854,123.013,0,0.000100225,6.29189e-05,135
0.2001,-72.5388,11.9858,123.013,0,0.000100321,6.2919e-05,135
0.2501,-72.5416,11.9861,123.012,0,0.000100418,6.29191e-05,135
0.3001,-72.5282,11.9865,123.012,0,0.000100514,6.29192e-05,135
0.3501,-72.544,11.9869,123.012,0,0.000100611,6.29193e-05,135
0.4001,-72.5416,11.9873,123.011,0,0.000100707,6.29194e-05,135
0.4501,-72.5355,11.9876,123.011,0,0.000100804,6.29195e-05,135
